Date,Open,High,Low,Close,Adj Close
30-Jun-15,8316.35,8533.15,8298.95,8522.15,8522.15
7-Jul-15,8525.5,8561.35,8315.4,8459.65,8459.65
14-Jul-15,8470.6,8642.95,8424.1,8603.45,8603.45
21-Jul-15,8601.5,8654.75,8351.55,8361,8361
28-Jul-15,8371.1,8563.95,8321.75,8543.05,8543.05
4-Aug-15,8564.1,8621.55,8448.25,8525.6,8525.6
11-Aug-15,8548.45,8556.25,8337.95,8477.3,8477.3
18-Aug-15,8505.85,8525.75,7769.4,7809,7809
25-Aug-15,7895.4,8091.8,7667.25,7971.3,7971.3
1-Sep-15,7907.95,7929.1,7545.9,7558.8,7558.8
8-Sep-15,7587.7,7879.95,7539.5,7872.25,7872.25
15-Sep-15,7867.35,8055,7799.75,7977.1,7977.1
22-Sep-15,8014.8,8021.6,7723.25,7795.7,7795.7
29-Sep-15,7725.7,8128.9,7691.2,8119.3,8119.3
6-Oct-15,8180.45,8244.5,8096.5,8143.6,8143.6
13-Oct-15,8121.95,8283.05,8088.6,8275.05,8275.05
20-Oct-15,8280.3,8336.3,8217.15,8260.55,8260.55
27-Oct-15,8230.35,8241.95,7995.6,8050.8,8050.8
3-Nov-15,8086.35,8116.1,7771.7,7915.2,7915.2
10-Nov-15,7877.6,7885.1,7714.15,7806.6,7806.6
17-Nov-15,7848.75,7906.95,7725.05,7849.25,7849.25
24-Nov-15,7837,7966,7812.65,7935.25,7935.25
1-Dec-15,7958.15,7979.3,7746.05,7765.4,7765.4
8-Dec-15,7738.5,7771.25,7551.05,7650.05,7650.05
15-Dec-15,7659.15,7852.9,7625.1,7834.45,7834.45
22-Dec-15,7829.4,7937.2,7776.85,7925.15,7925.15
29-Dec-15,7929.2,7955.55,7781.1,7791.3,7791.3
5-Jan-16,7828.4,7831.2,7494.35,7563.85,7563.85
12-Jan-16,7587.2,7604.8,7336.4,7351,7351
19-Jan-16,7381.8,7487.15,7241.5,7436.15,7436.15
26-Jan-16,7469.6,7600.45,7402.8,7555.95,7555.95
2-Feb-16,7566.65,7576.3,7350.3,7387.25,7387.25
9-Feb-16,7303.95,7323.45,6869,7162.95,7162.95
16-Feb-16,7201.25,7252.4,6960.65,7234.55,7234.55
23-Feb-16,7240.3,7241.7,6825.8,6987.05,6987.05
1-Mar-16,7038.25,7505.9,7035.1,7485.35,7485.35
8-Mar-16,7486.4,7583.7,7424.3,7538.75,7538.75
15-Mar-16,7535.85,7713.55,7405.15,7704.25,7704.25
22-Mar-16,7695.55,7749.4,7587.7,7615.1,7615.1
